plot,grid,mean_vwc_m3m3_15cm,min_vwc_m3m3_15cm,max_vwc_m3m3_15cm,evacuation_datetime,collection_datetime,elapsed_time,tz,grid_vols_mL,doc_mg_l,tdn_mg_l
Control,B4,0.3208372441030928,0.296527951,0.390543274,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,96.8833333333333,EDT,36.5,7.55,0.23
Control,C6,0.31416618937336815,0.289662121,0.390310534,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,96.8833333333333,EDT,36.5,12.69,1.44
Control,H3,0.31598308549742266,0.277423876,0.393724054,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,96.8833333333333,EDT,36.5,20.08,0.51
Control,B4,0.32578604325938565,0.311500891,0.385504453,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,10.61,0.45
Control,C3,0.3845148130931034,0.366598207,0.400205863,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,16.66,0.49
Control,C6,0.3287210429351536,0.315298432,0.399216718,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,13.45,1.73
Control,D5,0.45071460001706487,0.433638964,0.469100782,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,29.5,11.37,0.41
Control,F4,0.3849613524529617,0.365310379,0.431579215,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,31.5,14.43,0.59
Control,F6,0.37410481847422683,0.348172957,0.424631926,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,15.7,0.5
Control,H3,0.32977808807191783,0.310953952,0.394480459,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,20.09,0.61
Control,H6,0.31581966104095566,0.306989614,0.32492611,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,15.89,0.58
Control,I5,0.3345929898116438,0.321508711,0.412219126,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,73,EDT,36.5,23.39,0.71
Control,B4,0.3181181907272727,0.31208662,0.342385489,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,16.5,7.48,0.24
Control,C6,0.28482073585810813,0.280868428,0.293793256,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,20.5,8.28,0.28
Control,D5,0.41840034515151514,0.398184904,0.461944027,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,16.5,7.13,0.32
Control,F6,0.33925400899324326,0.333141832,0.355814587,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,18.5,14.55,0.42
Control,H3,0.31763902321212123,0.30793609,0.350399503,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,18.5,19.2,0.81
Control,H6,0.32426922231756755,0.321756967,0.330383863,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,65,15.01,0.46
Control,I5,0.32565968506060605,0.320410954,0.341578657,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,74.3166666666667,EST,79.5,15.72,0.47
